steps,ingredients,name,id
"Mix all ingredients except pie crusts. Divide mixture evenly between the three pie crusts. Top with chopped peanuts or graham cracker crumbs, if desired. Freeze for at least 2 hours. May top with additional cool whip and chocolate shavings or chopped peanuts.","creamy peanut butter, powdered sugar, milk, vanilla extract, cream cheese, whipped topping, ice cream topping, oreo cookie pie crusts",peanut butter pie semi homemaker recipe sandra lee,414063
"Put in food proscessor. Mix togethar, so meat is mixed well with venison. Make into burgers. And fry on grill or frying pan. Salt and pepper.","venison, mushroom soup, dry onion soup mix, sliced mushrooms, butter, salt, pepper",venison or beef country style stew,392587
"Preheat oven to 350 degrees. Place chicken on shallow baking dish. Bake, uncovered for 45 minutes, or until juices run clear.","boneless chicken breast half, margarine, onions, celery, chicken bouillon cube, water, pepperidge farm stuffing, salt and pepper",boneless chicken breast,51527
Preheat oven to 350f. Preheat oven to 350f. Preheat,"potatoes, beetroots, sweet potato, olive oil, thyme leaves, salt and pepper, fresh cream, parmesan cheese, gruyere cheese",potato beetroot and sweet potato gratin,379297
"Heat oil in a skillet. Add lavash bread, carrot, lebanese cucumber, garlic clove, mint, parsley, fresh ground black pepper, celery rib, snow peas. Stir well. Garnish with remaining green onions. Refrigerate for at least 1 hour to blend flavours.","yoghurt, lavash bread, carrot, lebanese cucumber, garlic clove, mint, parsley, fresh ground black pepper, celery rib, snow peas",herb and vegie yoghurt dip,453992
"Place roast and onion in crock pot sprayed with pam. Add bay leaf, soy sauce and garlic powder. Cover. Cook on high 1 hour and then low 6 hours. Slice and serve.","boneless chuck roast, prepared horseradish, carrots, potatoes, onions, salt, black pepper, apple juice, sour cream",savory crock pot pot roast,42835
"In a large glass serving bowl, line lettuce leaves along the bottom and sides of bowl. Spoon melon mixture into the center of bowl. Garnish with mint sprigs.","cantaloupe, sugar, fresh lemon juice, mint leaf, basil leaves, light rum, ice",cantaloupe daiquiris,318295
"In bowl, mix milk, sugar and lemon juice. Stir well. Chill until ready to use. Place melon in lg bowl. Add coconut milk mixture and toss to coat.","powdered milk, ricotta cheese, sugar, butter, cardamom powder, cashew nuts, almonds, saffron",kalakand,168244
Place the pita sandwiches on a baking sheet. Sprinkle with cheese and italian seasoning. Bake at 350 for 10-12 minutes. Cut into wedges and serve immediately.,"olive oil, japanese eggplant, onions, garbanzo beans, ground cumin, fresh lemon juice, of fresh mint, feta cheese, pita bread rounds",feta garbanzo bean and eggplant pita sandwich,111886
Heat 3 tbsp oil in pan. Saute walnuts in olive oil. Add broccoli florets and saute for 2-3 minutes. Add broccoli florets and sa,"penne pasta, broccoli florets, olive oil, walnuts, blue cheese, lemon juice",broccoli walnut blue cheese pasta,340397
Combine marinade ingredients in shallow dish or self-closing plastic bag. Add tuna steaks. Turn to coat. Refrigerate 20 minutes. Turn occasionally. Grill or broil 8 to 10 minutes per inch of thickness. Discard leftover marinade.,"tuna steaks, dry white wine, lemon juice, olive oil, garlic, fresh rosemary, fresh oregano, salt",grilled marinated tuna steaks,26262
"Preheat oven to 400 degrees. Place 1 layer of fish in a shallow pan. Cover with green pepper and onion, then sprinkle with curry powder. Drizzle with coconut oil or melted butter. Dri","fish, walnuts, onions, butter, sour cherries, sultana raisins, salt",kutum lavagny stuffed fish,307186
